year,school_code,school_name,order_first_date,spreadsheet_first_date,total_circ,total_orders,total_revenue,dist_type
2019,ROL,Rollins College,,2019-05-16,644.0,123.0,28654.0,4
2014,PUR,Purchase College,,,,,,
2015,PUR,Purchase College,,,,24.0,4349.0,
2016,PUR,Purchase College,2016-07-04,,,14.0,2292.0,
2017,PUR,Purchase College,2017-07-03,2017-06-30,758.0,116.0,20281.0,1
2018,PUR,Purchase College,2018-05-13,2018-05-01,890.0,144.0,29050.0,1
2019,PUR,Purchase College,,2019-04-19,896.0,128.0,28648.0,1
2014,LAF,Lafayette College,,2014-05-12,591.0,105.0,20019.0,
2015,LAF,Lafayette College,,2015-06-04,617.0,108.0,20264.0,
2016,LAF,Lafayette College,2016-05-13,2016-05-11,623.0,106.0,20215.0,1
2017,LAF,Lafayette College,2017-05-20,2017-05-17,590.0,107.0,19916.0,1
2018,LAF,Lafayette College,2018-05-14,2018-05-09,684.0,113.0,24478.0,1
2019,LAF,Lafayette College,,2019-05-20,638.0,130.0,28597.0,1
2014,CUR,Curry College,,2014-04-29,700.0,155.0,33015.0,
2015,CUR,Curry College,,2015-05-08,688.0,131.0,25574.0,
2016,CUR,Curry College,2016-05-28,2016-05-16,696.0,138.0,29910.0,4
2017,CUR,Curry College,2017-05-18,2017-05-17,910.0,115.0,24122.0,4
2018,CUR,Curry College,2018-05-12,2018-05-04,667.0,121.0,24479.0,4
2019,CUR,Curry College,,2019-04-29,612.0,132.0,28571.0,4
2014,UWG,University of West Georgia,,2014-05-05,1140.0,181.0,32995.0,
2015,UWG,University of West Georgia,,2015-04-23,1688.0,140.0,25700.0,
2016,UWG,University of West Georgia,2016-06-14,2016-06-09,1484.0,106.0,20975.0,4
2017,UWG,University of West Georgia,2017-04-24,2017-04-20,2723.0,150.0,29625.0,1
2018,UWG,University of West Georgia,2018-05-06,2018-05-01,1573.0,182.0,35077.0,1
2019,UWG,University of West Georgia,,2019-04-25,1315.0,136.0,28523.0,4
2014,CSF,"California State University, Fresno",,2014-04-28,731.0,220.0,38446.0,
2015,CSF,"California State University, Fresno",,2015-04-23,630.0,163.0,28988.0,
2016,CSF,"California State University, Fresno",2016-06-12,2016-04-29,570.0,152.0,29796.0,1
2017,CSF,"California State University, Fresno",2017-06-14,2017-05-12,572.0,120.0,21283.0,1
2018,CSF,"California State University, Fresno",2018-06-08,2018-05-01,763.0,156.0,27737.0,1
2019,CSF,"California State University, Fresno",,2019-04-18,531.0,151.0,28441.0,1
2014,AAM,Alabama A&M University,,,0.0,0.0,0.0,
2015,AAM,Alabama A&M University,,2015-06-29,88.0,5.0,860.0,
2016,AAM,Alabama A&M University,2016-07-08,2016-07-13,573.0,13.0,2954.0,1
2017,AAM,Alabama A&M University,2017-06-27,,0.0,4.0,1006.0,1
2018,AAM,Alabama A&M University,,,0.0,2.0,219.0,1
2019,AAM,Alabama A&M University,,2019-06-06,1745.0,144.0,27985.0,1
2014,NJI,New Jersey Institute of Tech,,2014-04-25,569.0,168.0,29448.0,
2015,NJI,New Jersey Institute of Tech,,2015-04-23,585.0,172.0,32635.0,
2016,NJI,New Jersey Institute of Tech,2016-04-26,2016-04-21,631.0,103.0,20997.0,4
2017,NJI,New Jersey Institute of Tech,2017-05-12,2017-05-02,1038.0,130.0,25547.0,1
2018,NJI,New Jersey Institute of Tech,2018-05-22,2018-05-01,798.0,132.0,25211.0,1
2019,NJI,New Jersey Institute of Tech,,2019-04-19,683.0,152.0,27941.0,4
2014,UID,University of Idaho,,2014-05-28,1200.0,28.0,4479.0,
2015,UID,University of Idaho,,2015-06-16,1100.0,119.0,20295.0,
2016,UID,University of Idaho,2016-07-14,2016-07-07,1800.0,87.0,15666.0,7
2017,UID,University of Idaho,2017-06-07,2017-06-02,1300.0,123.0,20367.0,7
2018,UID,University of Idaho,2018-05-22,2018-05-21,1300.0,98.0,18561.0,7
2019,UID,University of Idaho,,2019-05-15,1300.0,148.0,27853.0,7
2014,WST,Westfield State University,,2014-04-24,1298.0,292.0,57603.0,
2015,WST,Westfield State University,,2015-04-23,1449.0,253.0,47066.0,
2016,WST,Westfield State University,2016-05-01,2016-04-21,1167.0,161.0,32327.0,4
2017,WST,Westfield State University,2017-04-24,2017-04-21,936.0,183.0,37227.0,1
2018,WST,Westfield State University,2018-05-18,2018-05-04,924.0,114.0,23648.0,4
2019,WST,Westfield State University,,2019-05-20,1522.0,136.0,27802.0,1
2014,CHC,College of the Holy Cross,,2014-05-30,778.0,89.0,16706.0,
2015,CHC,College of the Holy Cross,,2015-06-16,707.0,86.0,16703.0,
2016,CHC,College of the Holy Cross,2016-06-28,2016-06-22,765.0,57.0,11575.0,1
2017,CHC,College of the Holy Cross,2017-06-24,2017-06-20,813.0,90.0,15903.0,1
2018,CHC,College of the Holy Cross,2018-06-09,2018-06-04,935.0,106.0,23783.0,1
2019,CHC,College of the Holy Cross,,2019-06-07,798.0,128.0,27465.0,1
2014,ONU,Ohio Northern University,,2014-04-28,625.0,158.0,29788.0,
2015,ONU,Ohio Northern University,,2015-04-24,595.0,121.0,20355.0,
2016,ONU,Ohio Northern University,2016-05-06,2016-05-03,624.0,138.0,27522.0,1
2017,ONU,Ohio Northern University,2017-04-23,2017-04-20,641.0,140.0,28941.0,1
2018,ONU,Ohio Northern University,2018-05-07,2018-05-01,660.0,123.0,24595.0,1
2019,ONU,Ohio Northern University,,2019-04-18,637.0,131.0,27375.0,1
2014,CMS,University of Central Missouri,,2014-04-24,1563.0,331.0,57883.0,
2015,CMS,University of Central Missouri,,2015-04-23,1826.0,351.0,59561.0,
2016,CMS,University of Central Missouri,2016-04-25,2016-04-21,1593.0,209.0,38866.0,1
2017,CMS,University of Central Missouri,2017-04-24,2017-04-20,1465.0,228.0,40495.0,1
2018,CMS,University of Central Missouri,2018-05-13,2018-05-04,1234.0,172.0,30647.0,4
2019,CMS,University of Central Missouri,,2019-04-23,1163.0,135.0,27372.0,4
2014,ANG,Angelo State University,,2014-05-01,1347.0,237.0,39883.0,
2015,ANG,Angelo State University,,2015-05-05,1364.0,148.0,25379.0,
2016,ANG,Angelo State University,2016-04-30,2016-04-27,1950.0,228.0,41535.0,1
2017,ANG,Angelo State University,2017-06-02,2017-05-30,935.0,142.0,25720.0,1
2018,ANG,Angelo State University,2018-06-08,2018-06-04,712.0,116.0,28942.0,4
2019,ANG,Angelo State University,,2019-06-03,866.0,135.0,27335.0,1
2014,JWU,Johnson & Wales University-Providence,,2014-06-04,1335.0,183.0,37664.0,
2015,JWU,Johnson & Wales University-Providence,,2015-04-30,1380.0,212.0,41176.0,
2016,JWU,Johnson & Wales University-Providence,2016-06-05,2016-06-03,1609.0,259.0,53299.0,1
2017,JWU,Johnson & Wales University-Providence,2017-06-08,2017-06-07,848.0,129.0,24198.0,1
2018,JWU,Johnson & Wales University-Providence,2018-05-30,2018-05-25,917.0,145.0,28773.0,1
2019,JWU,Johnson & Wales University-Providence,,2019-05-03,714.0,130.0,27297.0,1
2014,WIN,Winthrop University,,2014-04-24,1027.0,161.0,30452.0,
2015,WIN,Winthrop University,,2015-04-23,1233.0,180.0,29950.0,
2016,WIN,Winthrop University,2016-04-25,2016-04-21,1157.0,156.0,30363.0,4
2017,WIN,Winthrop University,2017-05-01,2017-04-26,994.0,130.0,25634.0,1
2018,WIN,Winthrop University,2018-05-21,2018-05-04,933.0,134.0,25847.0,4
2019,WIN,Winthrop University,,2019-04-23,855.0,136.0,27127.0,4
2014,MAD,University of Massachusetts Dartmouth,,2014-07-01,1089.0,191.0,36576.0,
2015,MAD,University of Massachusetts Dartmouth,,2015-07-13,1083.0,144.0,25555.0,
2016,MAD,University of Massachusetts Dartmouth,2016-08-04,2016-08-02,1058.0,89.0,17330.0,1
2017,MAD,University of Massachusetts Dartmouth,2017-06-24,2017-06-22,1250.0,171.0,33180.0,1
2018,MAD,University of Massachusetts Dartmouth,,2018-07-24,1513.0,76.0,14039.0,4
2019,MAD,University of Massachusetts Dartmouth,,2019-05-30,835.0,133.0,27026.0,1
2014,CUA,The Catholic University of America,,2014-06-27,1500.0,103.0,19858.0,
2015,CUA,The Catholic University of America,,2015-07-02,2200.0,103.0,20037.0,
2016,CUA,The Catholic University of America,2016-07-14,2016-07-08,1872.0,83.0,17091.0,7
2017,CUA,The Catholic University of America,2017-07-04,2017-07-03,2100.0,105.0,18683.0,7
2018,CUA,The Catholic University of America,,2018-06-15,2100.0,114.0,23146.0,7
2019,CUA,The Catholic University of America,,2019-06-19,850.0,123.0,26945.0,7
2014,MLO,Maryville University,,,,,,
2015,MLO,Maryville University,,,,0.0,0.0,
2016,MLO,Maryville University,,,,0.0,0.0,
2017,MLO,Maryville University,2017-06-03,2017-05-31,373.0,71.0,14244.0,1
2018,MLO,Maryville University,2018-05-07,2018-05-01,435.0,121.0,23708.0,1
2019,MLO,Maryville University,,2019-04-26,772.0,137.0,26605.0,1
2014,SYN,SUNY New Paltz,,2014-07-01,1125.0,174.0,33783.0,
2015,SYN,SUNY New Paltz,,2015-06-26,1325.0,150.0,27006.0,
2016,SYN,SUNY New Paltz,2016-07-20,2016-07-20,950.0,100.0,16857.0,7
2017,SYN,SUNY New Paltz,2017-07-28,2017-07-24,1375.0,93.0,14851.0,7
2018,SYN,SUNY New Paltz,2018-05-07,2018-06-29,1375.0,138.0,24598.0,7
2019,SYN,SUNY New Paltz,,2019-06-19,1675.0,138.0,26552.0,7
2014,UME,University of Maine,,,0.0,4.0,474.0,
2015,UME,University of Maine,,,,19.0,3556.0,
2016,UME,University of Maine,2016-06-10,,,8.0,1116.0,1
2017,UME,University of Maine,2017-07-15,,0.0,10.0,1486.0,1
2018,UME,University of Maine,,2018-07-17,1949.0,84.0,17056.0,1
2019,UME,University of Maine,,2019-07-02,1857.0,145.0,26450.0,1
2014,CHM,Champlain College,,2014-05-09,1358.0,201.0,41330.0,
2015,CHM,Champlain College,,2015-05-12,634.0,206.0,38383.0,
2016,CHM,Champlain College,2016-05-14,2016-05-11,705.0,191.0,37830.0,1
2017,CHM,Champlain College,2017-04-26,2017-04-20,676.0,188.0,37300.0,1
2018,CHM,Champlain College,2018-05-11,2018-05-04,556.0,128.0,23353.0,4
2019,CHM,Champlain College,,2019-05-07,614.0,123.0,26312.0,4
2014,UVM,University of Vermont,,2014-05-06,2438.0,356.0,66111.0,
2015,UVM,University of Vermont,,2015-05-11,2954.0,398.0,74508.0,
2016,UVM,University of Vermont,2016-04-28,2016-04-26,2964.0,338.0,62690.0,1
2017,UVM,University of Vermont,2017-06-14,2017-06-12,2644.0,263.0,46514.0,1
2018,UVM,University of Vermont,,2018-06-20,2847.0,172.0,34874.0,1
2019,UVM,University of Vermont,,,0.0,132.0,26139.0,1
2014,FAU,Florida Atlantic University,,2014-05-22,2601.0,181.0,37994.0,
2015,FAU,Florida Atlantic University,,2015-04-23,1531.0,60.0,11156.0,
2016,FAU,Florida Atlantic University,2016-06-12,2016-06-09,1675.0,194.0,38583.0,1
2017,FAU,Florida Atlantic University,2017-06-30,2017-06-28,1604.0,139.0,27424.0,1
2018,FAU,Florida Atlantic University,2018-05-12,2018-06-28,2553.0,185.0,36509.0,1
2019,FAU,Florida Atlantic University,,2019-07-12,2144.0,126.0,25960.0,1
2014,RAD,Radford University,,2014-05-16,2318.0,498.0,91235.0,
2015,RAD,Radford University,,2015-04-23,2182.0,434.0,78314.0,
2016,RAD,Radford University,2016-04-24,2016-04-21,1907.0,406.0,79021.0,1
2017,RAD,Radford University,2017-04-23,2017-04-20,1584.0,361.0,72161.0,1
2018,RAD,Radford University,2018-05-05,2018-05-01,1349.0,236.0,46558.0,1
2019,RAD,Radford University,,2019-05-20,1472.0,120.0,25901.0,7
2014,MDL,Middlebury College,,,,,,
2015,MDL,Middlebury College,,,,229.0,36124.0,
2016,MDL,Middlebury College,2016-05-16,,,20.0,1985.0,
2017,MDL,Middlebury College,2017-05-07,2017-04-28,2275.0,170.0,29449.0,7
2018,MDL,Middlebury College,2018-05-19,2018-05-02,3800.0,124.0,22994.0,7
2019,MDL,Middlebury College,,2019-04-18,3275.0,127.0,25796.0,7
2014,JWH,Johnson & Wales University - Harborside Bookstore,,2014-06-06,4025.0,246.0,49162.0,
2015,JWH,Johnson & Wales University - Harborside Bookstore,,2015-05-05,1189.0,185.0,33354.0,
2016,JWH,Johnson & Wales University - Harborside Bookstore,2016-06-11,2016-06-09,660.0,156.0,32601.0,1
2017,JWH,Johnson & Wales University - Harborside Bookstore,2017-04-23,2017-04-20,1046.0,192.0,41177.0,1
2018,JWH,Johnson & Wales University - Harborside Bookstore,2018-04-27,2018-04-24,1017.0,166.0,34029.0,1
2019,JWH,Johnson & Wales University - Harborside Bookstore,,2019-05-15,677.0,116.0,25757.0,1
2014,UMA,University of Montana,,2014-05-15,1559.0,69.0,11687.0,
2015,UMA,University of Montana,,2015-05-15,1632.0,151.0,29405.0,
2016,UMA,University of Montana,2016-06-18,2016-04-25,1357.0,137.0,29569.0,1
2017,UMA,University of Montana,2017-04-24,2017-04-20,1413.0,148.0,28563.0,1
2018,UMA,University of Montana,2018-05-07,2018-05-01,906.0,118.0,25104.0,1
2019,UMA,University of Montana,,2019-04-19,906.0,107.0,25734.0,7
2014,JCU,John Carroll University,,2014-06-24,692.0,127.0,23814.0,
2015,JCU,John Carroll University,,2015-07-10,698.0,111.0,19531.0,
2016,JCU,John Carroll University,2016-07-17,2016-07-15,607.0,88.0,17711.0,1
2017,JCU,John Carroll University,2017-07-15,2017-07-13,629.0,81.0,14882.0,1
2018,JCU,John Carroll University,,2018-07-25,735.0,49.0,9094.0,1
2019,JCU,John Carroll University,,2019-06-06,647.0,132.0,25656.0,1
2014,SPC,Springfield College,,2014-05-19,595.0,144.0,28224.0,
2015,SPC,Springfield College,,2015-06-03,576.0,123.0,23765.0,
2016,SPC,Springfield College,2016-05-22,2016-05-20,545.0,116.0,22876.0,4
2017,SPC,Springfield College,2017-05-24,2017-05-22,637.0,169.0,32751.0,1
2018,SPC,Springfield College,2018-06-04,2018-05-30,571.0,119.0,24197.0,1
2019,SPC,Springfield College,,2019-05-21,601.0,114.0,25422.0,4
2014,UPJ,University of Pittsburgh Johnstown,,2014-05-05,684.0,199.0,35672.0,
2015,UPJ,University of Pittsburgh Johnstown,,2015-05-08,636.0,151.0,27225.0,
2016,UPJ,University of Pittsburgh Johnstown,2016-04-29,2016-04-27,486.0,138.0,25309.0,1
2017,UPJ,University of Pittsburgh Johnstown,2017-05-19,2017-05-17,615.0,120.0,21945.0,1
2018,UPJ,University of Pittsburgh Johnstown,2018-05-25,2018-05-18,678.0,122.0,24255.0,1
2019,UPJ,University of Pittsburgh Johnstown,,2019-04-26,544.0,120.0,25391.0,1
2014,NWU,Northwestern University,,2014-07-29,1812.0,210.0,36275.0,
2015,NWU,Northwestern University,,2015-07-15,1725.0,231.0,40283.0,
2016,NWU,Northwestern University,2016-06-07,,,31.0,4757.0,1
2017,NWU,Northwestern University,2017-08-10,2017-07-05,1700.0,71.0,13499.0,2
2018,NWU,Northwestern University,2018-06-12,2018-07-05,1725.0,111.0,21919.0,3
2019,NWU,Northwestern University,,2019-06-28,1725.0,116.0,25379.0,3
2014,MCY,Mercyhurst University,,,,,,
2015,MCY,Mercyhurst University,,,,0.0,0.0,
2016,MCY,Mercyhurst University,,,,0.0,0.0,
2017,MCY,Mercyhurst University,2017-05-29,2017-05-25,473.0,78.0,14538.0,1
2018,MCY,Mercyhurst University,2018-04-29,2018-05-01,296.0,72.0,14952.0,1
2019,MCY,Mercyhurst University,,2019-04-18,551.0,119.0,25333.0,1
2014,WGB,University of Wisconsin-Green Bay,,2014-04-24,820.0,123.0,18983.0,
2015,WGB,University of Wisconsin-Green Bay,,2015-04-23,795.0,132.0,18156.0,
2016,WGB,University of Wisconsin-Green Bay,2016-04-25,2016-04-22,866.0,109.0,20307.0,4
2017,WGB,University of Wisconsin-Green Bay,2017-04-24,2017-04-20,863.0,120.0,21583.0,1
2018,WGB,University of Wisconsin-Green Bay,2018-05-12,2018-05-08,721.0,113.0,18864.0,4
2019,WGB,University of Wisconsin-Green Bay,,2019-04-23,787.0,131.0,25177.0,4
2014,STA,Saint Ambrose University,,2014-04-29,585.0,137.0,23317.0,
2015,STA,Saint Ambrose University,,2015-04-23,820.0,106.0,17498.0,
2016,STA,Saint Ambrose University,2016-04-25,2016-04-21,559.0,94.0,17661.0,1
2017,STA,Saint Ambrose University,2017-04-24,2017-04-20,634.0,145.0,27054.0,1
2018,STA,Saint Ambrose University,2018-05-10,2018-05-04,681.0,123.0,25438.0,4
2019,STA,Saint Ambrose University,,2019-04-19,890.0,125.0,25173.0,4
2014,LAS,La Salle University,,2014-05-23,750.0,221.0,43085.0,
2015,LAS,La Salle University,,2015-06-01,569.0,138.0,26297.0,
2016,LAS,La Salle University,2016-05-22,2016-05-10,662.0,113.0,22632.0,4
2017,LAS,La Salle University,2017-04-23,2017-04-20,797.0,184.0,36910.0,1
2018,LAS,La Salle University,2018-05-15,2018-05-11,1002.0,147.0,27407.0,4
2019,LAS,La Salle University,,2019-04-23,621.0,121.0,25139.0,4
2014,SDT,South Dakota School of Mines and Technology,,2014-05-16,545.0,206.0,34547.0,
2015,SDT,South Dakota School of Mines and Technology,,2015-05-06,490.0,216.0,35474.0,
2016,SDT,South Dakota School of Mines and Technology,2016-05-05,2016-05-02,451.0,124.0,22476.0,1
2017,SDT,South Dakota School of Mines and Technology,2017-04-24,2017-04-20,428.0,157.0,27549.0,1
2018,SDT,South Dakota School of Mines and Technology,2018-05-07,2018-05-01,433.0,146.0,28761.0,1
2019,SDT,South Dakota School of Mines and Technology,,2019-04-18,412.0,136.0,25091.0,1
2014,ECS,Eastern Connecticut State University,,2014-07-15,1071.0,90.0,15449.0,
2015,ECS,Eastern Connecticut State University,,2015-07-20,1054.0,109.0,16225.0,
2016,ECS,Eastern Connecticut State University,2016-06-02,2016-05-31,786.0,168.0,34277.0,1
2017,ECS,Eastern Connecticut State University,2017-04-24,2017-04-21,834.0,161.0,30397.0,1
2018,ECS,Eastern Connecticut State University,2018-06-05,2018-06-01,954.0,147.0,29815.0,1
2019,ECS,Eastern Connecticut State University,,2019-06-05,872.0,125.0,25090.0,1
2014,UCH,University of Chicago,,2014-07-21,2000.0,298.0,53547.0,
2015,UCH,University of Chicago,,2015-07-20,1700.0,256.0,46585.0,
2016,UCH,University of Chicago,2016-07-25,2016-07-22,2000.0,210.0,39819.0,2
2017,UCH,University of Chicago,2017-07-09,2017-07-19,1.0,204.0,39151.0,2
2018,UCH,University of Chicago,,2018-07-06,1.0,132.0,27682.0,2
2019,UCH,University of Chicago,,2019-07-05,1.0,120.0,25032.0,2
2014,SRE,Salve Regina University,,,,,,
2015,SRE,Salve Regina University,,,,,,
2016,SRE,Salve Regina University,2016-08-10,,,,,
2017,SRE,Salve Regina University,,,,,,
2018,SRE,Salve Regina University,,,,,,
2019,SRE,Salve Regina University,,2019-05-14,600.0,113.0,25028.0,7
2014,WSN,Western State Colorado University,,2014-07-08,389.0,151.0,26499.0,
2015,WSN,Western State Colorado University,,2015-06-25,740.0,96.0,16153.0,
2016,WSN,Western State Colorado University,2016-06-03,2016-05-27,992.0,115.0,22419.0,1
2017,WSN,Western State Colorado University,2017-05-14,2017-05-11,573.0,121.0,21908.0,1
2018,WSN,Western State Colorado University,2018-05-07,2018-05-01,1127.0,133.0,27508.0,1
2019,WSN,Western State Colorado University,,2019-04-18,746.0,121.0,24865.0,1
2014,CRL,Carroll University,,2014-06-19,612.0,141.0,24175.0,
2015,CRL,Carroll University,,2015-06-15,609.0,134.0,20326.0,
2016,CRL,Carroll University,2016-06-07,2016-06-03,535.0,95.0,18587.0,1
2017,CRL,Carroll University,2017-05-30,2017-05-26,584.0,118.0,22798.0,1
2018,CRL,Carroll University,2018-05-10,2018-05-01,687.0,109.0,20351.0,1
2019,CRL,Carroll University,,2019-04-29,749.0,133.0,24856.0,4
2014,RCN,Ramapo College of New Jersey,,,,,,
2015,RCN,Ramapo College of New Jersey,,,,,,
2016,RCN,Ramapo College of New Jersey,2016-07-04,,,,,
2017,RCN,Ramapo College of New Jersey,2017-08-15,,,,,
2018,RCN,Ramapo College of New Jersey,,2018-07-24,2352.0,67.0,12193.0,1
2019,RCN,Ramapo College of New Jersey,,2019-06-06,852.0,127.0,24842.0,1
2014,FIT,Florida Institute of Technology,,2014-04-24,661.0,210.0,44202.0,
2015,FIT,Florida Institute of Technology,,2015-04-23,597.0,219.0,43629.0,
2016,FIT,Florida Institute of Technology,2016-04-30,2016-04-21,735.0,186.0,39426.0,1
2017,FIT,Florida Institute of Technology,2017-05-21,2017-04-20,622.0,151.0,29895.0,1
2018,FIT,Florida Institute of Technology,2018-06-10,2018-05-01,1059.0,172.0,35188.0,1
2019,FIT,Florida Institute of Technology,,2019-04-22,1005.0,105.0,24815.0,4
2014,BEM,Bemidji State University,,2014-04-24,784.0,211.0,31807.0,
2015,BEM,Bemidji State University,,2015-04-23,1060.0,180.0,26889.0,
2016,BEM,Bemidji State University,2016-04-28,2016-04-25,887.0,140.0,24184.0,1
2017,BEM,Bemidji State University,2017-04-24,2017-04-20,709.0,139.0,25357.0,1
2018,BEM,Bemidji State University,2018-05-06,2018-05-01,801.0,145.0,25999.0,1
2019,BEM,Bemidji State University,,2019-04-26,690.0,137.0,24714.0,1
2014,ROA,Roanoke College,,2014-05-22,530.0,87.0,17375.0,
2015,ROA,Roanoke College,,2015-04-27,588.0,95.0,18665.0,
2016,ROA,Roanoke College,2016-05-07,2016-04-29,510.0,92.0,17314.0,1
2017,ROA,Roanoke College,2017-04-30,2017-04-26,549.0,69.0,14559.0,1
2018,ROA,Roanoke College,2018-05-08,2018-05-01,577.0,92.0,20860.0,1
2019,ROA,Roanoke College,,2019-04-18,549.0,117.0,24620.0,1
2014,CAR,Carleton College,,2014-06-16,481.0,149.0,27006.0,
2015,CAR,Carleton College,,2015-06-19,430.0,116.0,21711.0,
2016,CAR,Carleton College,2016-06-16,2016-06-14,524.0,151.0,29254.0,1
2017,CAR,Carleton College,2017-06-08,2017-06-05,469.0,109.0,24489.0,1
2018,CAR,Carleton College,2018-05-21,2018-05-16,485.0,187.0,38234.0,1
2019,CAR,Carleton College,,2019-06-04,497.0,134.0,24571.0,1
2014,GFU,George Fox University,,2014-05-15,647.0,131.0,24043.0,
2015,GFU,George Fox University,,2015-05-28,710.0,180.0,29427.0,
2016,GFU,George Fox University,,2016-05-31,792.0,147.0,26740.0,4
2017,GFU,George Fox University,2017-06-30,2017-06-27,650.0,126.0,21521.0,1
2018,GFU,George Fox University,2018-05-21,2018-05-16,743.0,139.0,25600.0,1
2019,GFU,George Fox University,,2019-05-30,742.0,115.0,24475.0,4
2014,MRU,Marshall University,,2014-05-28,2132.0,275.0,45874.0,
2015,MRU,Marshall University,,2015-05-01,1217.0,225.0,38359.0,
2016,MRU,Marshall University,2016-05-07,2016-05-02,1281.0,198.0,39639.0,4
2017,MRU,Marshall University,2017-04-24,2017-04-20,825.0,160.0,32500.0,1
2018,MRU,Marshall University,2018-05-10,2018-05-04,1188.0,110.0,22204.0,4
2019,MRU,Marshall University,,2019-04-26,954.0,124.0,24439.0,4
2014,UNM,University of New Mexico,,2014-05-08,868.0,217.0,36276.0,
2015,UNM,University of New Mexico,,2015-05-07,771.0,220.0,36699.0,
2016,UNM,University of New Mexico,2016-05-15,2016-05-12,512.0,110.0,20885.0,4
2017,UNM,University of New Mexico,2017-05-20,2017-05-17,689.0,153.0,30337.0,1
2018,UNM,University of New Mexico,2018-05-15,2018-05-09,1097.0,114.0,18755.0,4
2019,UNM,University of New Mexico,,2019-05-21,650.0,128.0,24424.0,4
2014,CRT,Carthage College,,2014-06-26,679.0,173.0,32284.0,
2015,CRT,Carthage College,,2015-07-01,715.0,164.0,29138.0,
2016,CRT,Carthage College,2016-06-30,2016-06-28,635.0,128.0,24393.0,1
2017,CRT,Carthage College,2017-06-23,2017-06-21,676.0,140.0,25651.0,1
2018,CRT,Carthage College,2018-05-09,2018-05-04,787.0,158.0,32358.0,4
2019,CRT,Carthage College,,2019-05-15,822.0,129.0,24407.0,4
2014,WDN,Widener University,,2014-06-12,608.0,120.0,23150.0,
2015,WDN,Widener University,,2015-06-17,855.0,143.0,28835.0,
2016,WDN,Widener University,2016-07-04,2016-07-01,690.0,111.0,23481.0,1
2017,WDN,Widener University,2017-06-01,2017-05-30,721.0,128.0,24110.0,1
2018,WDN,Widener University,2018-05-13,2018-05-08,834.0,127.0,28190.0,1
2019,WDN,Widener University,,2019-05-31,674.0,109.0,24349.0,4
2014,NCS,North Carolina State University,,,0.0,18.0,2152.0,
2015,NCS,North Carolina State University,,2015-05-08,5112.0,452.0,79191.0,
2016,NCS,North Carolina State University,2016-05-14,2016-05-12,4481.0,577.0,101172.0,1
2017,NCS,North Carolina State University,2017-05-20,2017-05-18,5147.0,537.0,99202.0,1
2018,NCS,North Carolina State University,2018-05-23,2018-06-19,5245.0,453.0,80199.0,1
2019,NCS,North Carolina State University,,2019-07-08,5212.0,115.0,24332.0,1
2014,CEN,Centre College,,2014-05-16,369.0,121.0,22225.0,
2015,CEN,Centre College,,2015-05-21,365.0,144.0,27606.0,
2016,CEN,Centre College,2016-05-20,2016-05-16,383.0,88.0,18803.0,1
2017,CEN,Centre College,2017-05-20,2017-05-16,385.0,99.0,17788.0,1
2018,CEN,Centre College,2018-05-20,2018-05-15,352.0,93.0,18769.0,1
2019,CEN,Centre College,,2019-05-14,349.0,114.0,24246.0,1
2014,SCL,St. Cloud State University,,2014-06-04,1164.0,294.0,48062.0,
2015,SCL,St. Cloud State University,,2015-06-12,1333.0,237.0,39097.0,
2016,SCL,St. Cloud State University,,2016-05-31,1171.0,231.0,41388.0,1
2017,SCL,St. Cloud State University,2017-05-27,2017-05-24,1312.0,120.0,22283.0,1
2018,SCL,St. Cloud State University,,2018-05-07,1033.0,44.0,6944.0,1
2019,SCL,St. Cloud State University,,2019-04-18,1283.0,128.0,24181.0,1
2014,ALF,Alfred State College,,2014-07-16,2250.0,143.0,27323.0,
2015,ALF,Alfred State College,,2015-07-07,2250.0,25.0,4056.0,
2016,ALF,Alfred State College,2016-05-15,2016-05-12,1902.0,185.0,36606.0,1
2017,ALF,Alfred State College,2017-06-05,2017-06-02,1212.0,189.0,38092.0,1
2018,ALF,Alfred State College,2018-05-20,2018-05-15,1333.0,212.0,42729.0,1
2019,ALF,Alfred State College,,2019-06-26,888.0,123.0,24160.0,1
2014,MDN,McDaniel College,,2014-04-24,403.0,113.0,22627.0,
2015,MDN,McDaniel College,,2015-04-23,458.0,111.0,21791.0,
2016,MDN,McDaniel College,,2016-04-21,423.0,84.0,16229.0,1
2017,MDN,McDaniel College,2017-04-29,2017-04-26,468.0,82.0,17806.0,1
2018,MDN,McDaniel College,2018-05-06,2018-05-01,418.0,77.0,16278.0,1
2019,MDN,McDaniel College,,2019-04-18,612.0,111.0,24146.0,1
2014,LEE,Lee University,,2014-04-24,1000.0,124.0,23910.0,
2015,LEE,Lee University,,2015-04-23,878.0,132.0,23523.0,
2016,LEE,Lee University,2016-05-08,2016-04-21,1017.0,118.0,25665.0,1
2017,LEE,Lee University,2017-04-24,2017-04-20,1219.0,111.0,21434.0,1
2018,LEE,Lee University,2018-05-16,2018-05-08,984.0,85.0,17830.0,4
2019,LEE,Lee University,,2019-05-02,911.0,118.0,24022.0,4
2014,OTT,Otterbein University,,2014-05-05,677.0,127.0,24575.0,
2015,OTT,Otterbein University,,2015-05-11,665.0,106.0,19497.0,
2016,OTT,Otterbein University,2016-05-06,2016-05-03,779.0,156.0,29373.0,1
2017,OTT,Otterbein University,2017-05-08,2017-05-04,715.0,117.0,23146.0,1
2018,OTT,Otterbein University,2018-05-06,2018-05-01,730.0,104.0,20411.0,1
